Title,Company,Location,Type of Positions,Salary,Identified_Skills
"Staff Applied Scientist, Marketplace",ThredUp Inc.,CA,Full-time,190000,"['python', 'machine learning', 'aws', 'sql']"
Prompt Engineer for Generative AI (chatbot and image),Vicarious Talent Agency,WA,Full-time,70000,"['python', 'machine learning', 'deep learning', 'aws', 'etl']"
Data Systems Analyst/Architect,General Dynamics Information Technology,Remote,Full-time,104000,"['machine learning', 'aws', 'azure', 'nosql', 'etl']"
AIOps Principle Data Scientist,CVS Health,CT,Full-time,140000,"['python', 'machine learning', 'aws', 'gcp']"
Sr. Data Scientist,Altak Group,Remote,Full-time,136000,"['python', 'machine learning', 'tableau', 'aws', 'sql', 'hadoop']"
LTD Data Scientist - Returnship,INTEL,Remote,Full-time,52000,"['tensorflow', 'pytorch', 'python', 'machine learning', 'deep learning', 'sql']"
Sr Data Analyst - 2200310,Optum,MN,Full-time,96283,"['azure', 'sql', 'airflow', 'hadoop', 'pyspark']"
"Senior Data Analyst, Data Analytics",Cardinal Health,Remote,Full-time,102000,"['tableau', 'sql']"
"Data Scientist, ML Platform",CVS Health,NY,Full-time,80500,"['tensorflow', 'pytorch', 'python', 'machine learning', 'aws', 'azure', 'docker', 'gcp', 'sql', 'git']"
AIOps Principle Data Scientist,CVS Health,CT,Full-time,140000,"['python', 'machine learning', 'aws', 'gcp']"
Sr. Data Scientist,Altak Group,Remote,Full-time,136000,"['python', 'machine learning', 'tableau', 'aws', 'sql', 'hadoop']"
"Senior Data Analyst, Data Analytics",Cardinal Health,Remote,Full-time,102000,"['tableau', 'sql']"
"Data Science, Lead Associate",Peraton,MD,Full-time,112000,"['etl', 'sql']"
"Senior Data Scientist, 5+ Years of Experience",Snapchat,CA,Full-time,174000,"['python', 'machine learning', 'sql']"
Software Engineering - Data Structures,JPMorgan Chase & Co,NJ,Full-time,128250,"['python', 'machine learning', 'aws', 'nosql', 'sql']"
Data Scientist,Genworth,VA,Full-time,90000,"['python', 'tableau', 'aws', 'azure', 'etl', 'sql', 'hadoop']"
"Sr. Risk Adjustment Data Analyst, Medicare Advantage",UCLA Health,CA,Full-time,78800,"['python', 'tableau', 'sql']"
Senior Principal Data Scientist (Melbourne FL),Northrop Grumman,FL,Full-time,123400,"['python', 'machine learning', 'tableau', 'nosql', 'etl', 'sql', 'hadoop']"
Principal Statistician - Remote,Mayo Clinic,MN,Full-time,138236,"['python', 'machine learning']"
Staff AI and Radar Software Engineer,Northrop Grumman,MD,Full-time,185900,"['tensorflow', 'python', 'machine learning']"
"Sr. Director, Data Science and Machine Learning",Centerfield,CA,Full-time,125000,"['machine learning', 'tableau']"
Artificial Intelligence Engineer,KLA,CA,Full-time,142000,"['tensorflow', 'python']"
Full Stack Data Engineer,IBM,DC,Full-time,98000,"['python', 'numpy', 'pandas', 'sql', 'kafka', 'hadoop', 'apache spark']"
"Lead Director, Data Science - Retail Pharmacy",CVS Health,MA,Full-time,140000,"['python', 'machine learning', 'sql']"
Principal/Senior Principal AI and Radar Software Engineer,Northrop Grumman,MD,Full-time,120900,"['tensorflow', 'python', 'machine learning']"
Data Scientist,Kaizen Analytix,Remote,Full-time,120000,"['machine learning', 'tableau', 'sql', 'hadoop']"
"Senior Data Scientist, Pricing",Airbnb,CA,Full-time,165000,"['python', 'sql']"
Data Scientist (-),DCI Solutions,MD,Full-time,170000,"['python', 'docker', 'nosql', 'sql', 'git']"
Senior Principal Data Scientist (Melbourne FL),Northrop Grumman,FL,Full-time,123400,"['python', 'machine learning', 'tableau', 'nosql', 'etl', 'sql', 'hadoop']"
"Data Science, Lead Associate",Peraton,MD,Full-time,112000,"['etl', 'sql']"
Staff AI and Radar Software Engineer,Northrop Grumman,MD,Full-time,185900,"['tensorflow', 'python', 'machine learning']"
Artificial Intelligence Engineer,KLA,CA,Full-time,142000,"['tensorflow', 'python']"
AI and Radar Software Engineer,Northrop Grumman,MD,Full-time,98200,"['tensorflow', 'python', 'machine learning']"
"Senior Manager, Data Science",CVS Health,NY,Full-time,132250,"['python', 'aws', 'azure', 'sql']"
Senior Concept Development Analyst (NLP),Cotiviti,Remote,Full-time,100000,"['machine learning', 'tableau']"
"Sr. Director, Data Science and Machine Learning",Centerfield,CA,Full-time,125000,"['machine learning', 'tableau']"
"Lead Director, Data Science - Retail Pharmacy",CVS Health,MA,Full-time,140000,"['python', 'machine learning', 'sql']"
Consulting AI and Radar Software Engineer,Northrop Grumman,MD,Full-time,229400,"['tensorflow', 'python', 'machine learning']"
Data Scientist,Kaizen Analytix,Remote,Full-time,120000,"['machine learning', 'tableau', 'sql', 'hadoop']"
"Senior Data Scientist, Pricing",Airbnb,CA,Full-time,165000,"['python', 'sql']"
Data Scientist (-),DCI Solutions,MD,Full-time,170000,"['python', 'docker', 'nosql', 'sql', 'git']"
Data Scientist (-),DCI Solutions,MD,Full-time,170000,"['python', 'docker', 'nosql', 'sql', 'git']"
Principal AI/ML Engineer,Provoke,TX,Full-time,180000,"['tensorflow', 'pytorch', 'machine learning', 'aws', 'azure']"
Staff Machine Learning Engineer - Personalization,"DoorDash, Inc.",CA,Full-time,176000,"['tensorflow', 'pytorch', 'python', 'machine learning', 'deep learning']"
Staff Machine Learning Engineer - Personalization,"DoorDash, Inc.",CA,Full-time,176000,"['tensorflow', 'pytorch', 'python', 'machine learning', 'deep learning']"
Staff Machine Learning Engineer - Personalization,"DoorDash, Inc.",CA,Full-time,176000,"['tensorflow', 'pytorch', 'python', 'machine learning', 'deep learning']"
Staff Machine Learning Engineer - Personalization,"DoorDash, Inc.",WA,Full-time,176000,"['tensorflow', 'pytorch', 'python', 'machine learning', 'deep learning']"
Senior Data Scientist,Pluto TV,NY,Full-time,124000,"['python', 'machine learning', 'aws', 'gcp', 'sql']"
Senior Data Scientist - 2199648,Optum,MN,Full-time,101400,"['python', 'machine learning', 'sql', 'hadoop']"
Senior Data Scientist,Pluto TV,NY,Full-time,124000,"['python', 'machine learning', 'aws', 'gcp', 'sql']"
